id	filename	md5	size	state
0009b366-a518-4364-a4f9-9f92c9cb2822	TCGA-AG-3906-01A-01-BS1.4c1114ba-e01a-4cbd-b4f5-0d91300d4810.svs	93416acd4d7b967a45d4a2d4bb07bb6d	108709187	validated
00544085-b455-4d10-b85f-8d3b45c42022	TCGA-AZ-5407-01A-01-BS1.51d58183-1215-43c4-be9f-c9f3f7b8b842.svs	052dd46bedb2da251539c36c28753348	44211549	validated
00f11052-7451-4160-9915-76a025be3438	TCGA-AA-3685-01A-02-BS2.9a9b28f6-ceba-4edb-b967-082b91ee9736.svs	1fdde441f266e23ed8ae1422c58a5302	108526523	validated
00f1e1e2-23ad-42e6-8ba2-399649ff944b	TCGA-AG-A020-01A-02-BS2.380a2193-5dd4-4e0a-adae-566749a47060.svs	13d719da97094300ff703d4559b8bc68	217748138	validated
0109b71b-e74f-4b65-b2ca-f578cc242c64	TCGA-D5-6932-01A-01-TS1.5017adb0-8bf1-48c7-a120-daca4855ed27.svs	b4aa72c8cea3fd8485cdffdbc8bb01c7	89212453	validated
010a259f-4797-4254-aed1-8e18f4133dbe	TCGA-AA-3675-01A-01-BS1.9a262926-cfce-4642-864a-d670acd672d6.svs	9600521ac5a58bee735178132f45f816	90505341	validated
013125b9-5f91-45d8-a0ed-88788dc2db38	TCGA-CM-6678-01A-01-TS1.f3a91215-f702-4580-875f-ccd8e3fccda3.svs	815e503dc26703511919f3bccd87171e	146195311	validated
01398c3b-9bb8-4131-8882-3f576019a446	TCGA-AG-4001-01A-02-BS2.bd1d53ab-dcf5-415a-bd8a-2c89d082fcac.svs	6b875f474e0d871e30494cf994dee9cd	44327053	validated
0150d54e-26aa-42ff-84b8-3e269fbfe3d6	TCGA-AA-A01D-01A-01-TS1.9404ece7-4d3c-4d20-b52d-0670b0e91666.svs	593df59345ee25596feec2a8f617793d	188767456	validated
0154e842-98c2-4bc3-89a9-59139aec61ec	TCGA-AA-3821-01A-01-TS1.3d67ff19-8a1d-4cad-bfcc-3d3c31288387.svs	4717e0e9205a940a30c02744d9ccba06	121401341	validated
016ea1a9-7e9f-4953-b0d3-a7ab2616df33	TCGA-CM-6163-01A-01-BS1.53479d91-d15d-4675-b353-657aaa89a76d.svs	2f02c0c875c91e8bb4b11dc5c857e428	232653675	validated
01b65b43-c6fe-4fc2-ad1f-47af8a61a357	TCGA-CI-6621-01A-01-BS1.d2846f26-bc31-489c-a76a-6dae8f36b293.svs	95fc06d1a45abfe8538ab6cc63a883fe	106501673	validated
01db7751-e502-4651-b331-2a9d5e8e2ccd	TCGA-AF-A56L-01A-03-TSC.B3C84D67-562E-4873-AB00-0ED66EBAFB7F.svs	1525c85ea3467710b93abfbd22389b8d	223142423	validated
01de94a8-5913-4adb-ad59-53e7f24469b8	TCGA-AD-A5EJ-01A-01-TS1.6606E358-74AA-428D-A8FD-6CCC89385628.svs	c00eba93b703dd665f661e8a6139d27d	203497261	validated
01f989cd-27ca-4963-9474-d3b9dc346e60	TCGA-AA-A01G-01A-01-TS1.2118f70a-7165-49a2-a66d-df105113755f.svs	5926613e6ca6857bf3820820c7137a9e	138220832	validated
01faf070-f4f1-449c-bd6c-cd2443b9a132	TCGA-A6-3807-01A-01-TS1.fc294d0a-285e-46c4-b896-938c254742ea.svs	4ea0e8fed2820ebb5d6379e5be4b3117	121196709	validated
023ed7eb-5497-4864-a41b-a5aaa98deb95	TCGA-AA-3509-01A-01-TS1.eb7e71d2-7f87-4a46-b806-ce309fa5de32.svs	baf631b0c8b8154daba3ed2bb8dd1fb1	85803211	validated
027243e5-3d8d-4f03-a6a2-0a6add28800c	TCGA-CM-6679-01A-01-BS1.a8fd2ba6-f935-4c23-a3fc-685f7f230489.svs	b314b259692c240e2b853c501d8b35c3	251539821	validated
02a58239-ed9c-43ad-8458-99a69bd14227	TCGA-AA-A02O-01A-01-BS1.79d2c3c5-7bc2-48ea-9bcf-900e157b2c0f.svs	cdd599cc233ddce53d124463cd163b97	377358402	validated
02e25218-3c29-4c65-a277-e6bcf21b104c	TCGA-CA-5797-01A-01-BS1.8dd0196e-7ccd-4cfd-931a-e07bcca2babc.svs	12f6579f0236157ad843ffe571bc6cc9	239443379	validated
031d2b2d-61dc-49df-a341-0e5491b194fb	TCGA-CM-4752-01A-01-BS1.f2a5b69f-8c3d-4e1e-9873-7e8c0d492562.svs	3a0c19cf053368f9e39f846b9aeb3b76	551582127	validated
03bc5df4-96b1-4f07-95bd-029916d0cae0	TCGA-AG-3906-01A-01-TS1.0b443d21-6d6c-4da5-a84d-ee516d05d4e8.svs	1a546441ef4f682c5572f686d9aba194	52312079	validated
03f936f4-5de1-4e02-abed-7c20bbeecf5f	TCGA-AA-3488-01A-01-TS1.c745bedc-2dee-4ecf-bb2b-fa4086e305bc.svs	4ef1fb0b314c0b3d48b342b6d7f5cf34	37888959	validated
040fc902-5ecb-4a70-948e-142883e327fb	TCGA-DM-A28G-01A-01-TSA.57DE8836-A0FE-414A-8A84-EECB9BD35F1C.svs	e66fe9e77aa090e3a8877bf344c85a54	259976141	validated
04cf4f73-293c-44cf-b407-50b6a6a7cefc	TCGA-AG-A026-01A-03-TS3.f19578a6-9a06-43a0-b92b-eeee6fbb222f.svs	ec0d37f73f4b4e703bfa1df364c27769	227388348	validated
0548c377-55bc-4017-ab9a-91e7e6c57815	TCGA-AH-6544-01A-01-TS1.76a05a87-07fc-4c5e-b788-0450cf35dd0e.svs	84594cc12bac31397e2d148a968daf7b	101782517	validated
055b48f6-8fcd-46f2-9509-a32d96af74d9	TCGA-AA-3947-01A-01-TS1.2fdc4bfa-366a-4325-af0b-35cd50fb6d0c.svs	38d9438beb6387275b080f3f3c1a3c2f	129600171	validated
